BNBBUSD,BNBBTC,BNBETH,BTCBUSD,DOGEBUSD,DOGEBTC,ETHBUSD,ETHBTC
400.90000000,0.00886900,0.12180000,45198.07000000,0.23630000,0.00000523,3292.16000000,0.07283500
402.60000000,0.00889100,0.12190000,45297.59000000,0.23800000,0.00000525,3302.33000000,0.07290400
401.50000000,0.00887300,0.12180000,45254.71000000,0.23750000,0.00000525,3296.36000000,0.07284100
401.30000000,0.00886600,0.12190000,45259.98000000,0.23710000,0.00000524,3294.43000000,0.07279100
399.90000000,0.00886600,0.12190000,45099.50000000,0.23620000,0.00000524,3278.39000000,0.07270000
399.00000000,0.00885300,0.12170000,45072.58000000,0.23550000,0.00000522,3278.04000000,0.07272300
400.30000000,0.00885200,0.12160000,45201.29000000,0.23600000,0.00000522,3292.60000000,0.07284200
400.50000000,0.00885100,0.12170000,45239.08000000,0.23570000,0.00000521,3290.75000000,0.07274400
400.00000000,0.00884000,0.12160000,45248.91000000,0.23560000,0.00000521,3288.33000000,0.07267100
400.10000000,0.00884000,0.12140000,45248.14000000,0.23620000,0.00000522,3293.70000000,0.07279400
399.70000000,0.00883800,0.12140000,45212.07000000,0.23630000,0.00000523,3289.86000000,0.07276500
402.20000000,0.00880900,0.12090000,45653.47000000,0.23780000,0.00000521,3323.31000000,0.07281100
402.00000000,0.00881200,0.12110000,45608.98000000,0.23710000,0.00000520,3319.62000000,0.07279200
403.10000000,0.00880800,0.12160000,45760.08000000,0.23700000,0.00000518,3315.18000000,0.07245000
404.30000000,0.00882800,0.12180000,45784.68000000,0.23700000,0.00000518,3318.36000000,0.07248100
402.10000000,0.00881300,0.12190000,45632.64000000,0.23670000,0.00000518,3301.82000000,0.07236500
402.10000000,0.00879500,0.12150000,45730.40000000,0.23680000,0.00000518,3311.99000000,0.07243000
403.30000000,0.00880000,0.12150000,45825.00000000,0.23780000,0.00000519,3316.68000000,0.07237000
404.00000000,0.00880700,0.12170000,45879.78000000,0.23790000,0.00000518,3321.16000000,0.07239400
405.10000000,0.00881800,0.12120000,45959.19000000,0.23840000,0.00000518,3342.04000000,0.07273000
405.20000000,0.00881700,0.12120000,45968.56000000,0.23780000,0.00000518,3344.34000000,0.07275200
404.10000000,0.00881100,0.12100000,45853.85000000,0.23740000,0.00000517,3338.19000000,0.07279500
403.70000000,0.00879900,0.12100000,45889.01000000,0.23730000,0.00000517,3338.01000000,0.07274600
403.10000000,0.00880200,0.12140000,45802.63000000,0.23700000,0.00000518,3320.63000000,0.07250600
403.80000000,0.00881100,0.12140000,45844.56000000,0.23760000,0.00000518,3325.07000000,0.07253800
404.40000000,0.00881700,0.12160000,45880.86000000,0.23790000,0.00000518,3328.04000000,0.07253800
403.70000000,0.00879600,0.12120000,45896.30000000,0.23800000,0.00000518,3332.15000000,0.07260000
403.30000000,0.00878200,0.12090000,45934.79000000,0.23790000,0.00000518,3336.16000000,0.07261100
403.70000000,0.00877000,0.12080000,46038.96000000,0.23790000,0.00000517,3343.73000000,0.07263000
403.50000000,0.00877300,0.12090000,45989.96000000,0.23790000,0.00000517,3336.30000000,0.07254600
403.40000000,0.00876000,0.12100000,46064.78000000,0.23780000,0.00000516,3335.44000000,0.07239500
401.50000000,0.00874400,0.12090000,45895.53000000,0.23660000,0.00000516,3318.71000000,0.07230700
401.60000000,0.00873400,0.12060000,45982.27000000,0.23690000,0.00000515,3330.79000000,0.07243700
